daymonth,weather,max_temp (Celsius),min_temp (Celsius),wind (km/h),rain (mm),humidity (percentage),cloud (percentage),pressure (millibar),year,avg_temp (Celsius)
1-Jan,Sunny,18,6,7,0,41,12,1024,2009,12
2-Jan,Sunny,19,4,8,0,23,3,1019,2010,11.5
3-Jan,Sunny,18,4,7,0,38,13,1018,2011,11
4-Jan,Sunny,14,4,9,0,37,4,1023,2012,9
5-Jan,Sunny,17,6,10,0,32,0,1017,2013,11.5
6-Jan,Sunny,18,7,7,0,36,19,1019,2009,12.5
7-Jan,Sunny,20,6,8,0,30,5,1019,2010,13
8-Jan,Sunny,17,4,6,0,42,0,1016,2011,10.5
9-Jan,Sunny,18,7,8,0,25,13,1019,2012,12.5
10-Jan,Sunny,16,5,9,0,24,1,1017,2013,10.5
11-Jan,Sunny,16,5,9,0,24,1,1017,2013,10.5
12-Jan,partly cloud,15,8,5,0.1,46,41,1019,2009,11.5
13-Jan,partly cloud,16,5,5,0,36,39,1020,2010,10.5
14-Jan,Sunny,18,4,6,0,35,7,1019,2011,11
15-Jan,Sunny,18,8,7,0,29,11,1017,2012,13
16-Jan,Sunny,16,5,8,0,23,0,1018,2013,10.5
17-Jan,partly cloud,15,8,7,0,54,27,1019,2009,11.5
18-Jan,Sunny,18,4,8,0,44,1,1018,2010,11
19-Jan,Sunny,17,4,8,0,26,1,1019,2011,10.5
20-Jan,partly cloud,16,8,9,0.3,38,42,1018,2012,12
21-Jan,Sunny,15,4,13,0,24,0,1019,2013,9.5
22-Jan,Sunny,16,5,7,0,52,3,1017,2009,10.5
23-Jan,Sunny,21,5,7,0,42,2,1014,2010,13
24-Jan,Sunny,17,3,9,0,28,7,1019,2011,10
25-Jan,partly cloud,15,8,8,0.3,49,37,1019,2012,11.5
26-Jan,Sunny,15,4,9,0,26,0,1016,2013,9.5
27-Jan,Sunny,16,5,7,0,52,3,1017,2009,10.5
28-Jan,Sunny,21,5,7,0,42,2,1014,2010,13
29-Jan,Sunny,17,3,9,0,28,7,1019,2011,10
30-Jan,partly cloud,15,8,8,0.3,49,37,1019,2012,11.5
31-Jan,Sunny,15,4,9,0,26,0,1016,2013,9.5
1-Feb,Sunny,17,5,6,0,54,8,1018,2009,11
2-Feb,Sunny,19,4,8,0,26,22,1020,2011,11.5
3-Feb,partly cloud,14,7,10,1,52,45,1018,2012,10.5
4-Feb,Sunny,15,4,9,0,26,0,1018,2013,9.5
5-Feb,Sunny,17,5,6,0,55,4,1021,2009,11
6-Feb,Sunny,21,7,8,0,26,9,1018,2010,14
7-Feb,partly cloud,18,6,8,0,28,49,1019,2011,12
8-Feb,Patchy,17,7,8,0.2,36,60,1019,2012,12
9-Feb,Sunny,17,6,8,0,45,3,1024,2009,11.5
10-Feb,Sunny,19,6,8,0,21,1,1018,2010,12.5
11-Feb,Sunny,17,6,9,0,42,39,1017,2011,11.5
12-Feb,Sunny,13,4,9,0,46,18,1023,2012,8.5
13-Feb,Sunny,14,3,9,0,27,31,1020,2013,8.5
14-Feb,Sunny,18,6,8,0,35,22,1024,2009,12
15-Feb,Sunny,19,6,9,0,22,2,1018,2010,12.5
16-Feb,Sunny,17,5,9,0,43,2,1018,2011,11
17-Feb,partly cloud,17,6,9,1.1,39,46,1019,2012,11.5
18-Feb,Sunny,23,10,8,0,28,1,1013,2009,16.5
19-Feb,Sunny,23,10,8,0,28,1,1013,2009,16.5
20-Feb,Sunny,26,10,8,0,17,0,1016,2010,18
21-Feb,Sunny,24,13,11,0,34,5,1015,2011,18.5
22-Feb,Sunny,25,12,7,0,11,5,1017,2012,18.5
23-Feb,partly cloud,23,11,8,0,17,33,1019,2013,17
24-Feb,Sunny,18,6,6,0,35,21,1022,2009,12
25-Feb,Sunny,20,4,7,0,21,0,1019,2010,12
26-Feb,Sunny,19,6,8,0,29,9,1016,2011,12.5
27-Feb,Sunny,14,4,8,0,32,1,1021,2012,9
28-Feb,Sunny,19,7,9,0,26,19,1017,2013,13
1-Mar,Sunny,18,7,8,0,31,23,1024,2009,12.5
2-Mar,partly cloud,20,3,7,0,18,31,1017,2010,11.5
3-Mar,Sunny,19,6,8,0,33,3,1015,2011,12.5
4-Mar,Sunny,16,5,9,0,32,4,1021,2012,10.5
5-Mar,partly cloud,18,9,10,0.3,46,33,1017,2013,13.5
6-Mar,partly cloud,17,6,7,0,33,29,1026,2009,11.5
7-Mar,Sunny,18,6,7,0,28,14,1019,2010,12
8-Mar,Sunny,19,6,9,0,24,17,1016,2011,12.5
9-Mar,Sunny,16,5,8,0,30,21,1020,2012,10.5
10-Mar,Sunny,18,7,12,0,44,3,1016,2013,12.5
11-Mar,partly cloud,19,5,6,0,38,28,1025,2009,12
12-Mar,Sunny,19,4,8,0,26,4,1024,2010,11.5
13-Mar,Sunny,17,5,10,5.4,52,26,1014,2011,11
14-Mar,Sunny,16,5,9,1.3,35,33,1018,2012,10.5
15-Mar,Cloudy,18,6,10,0,27,46,1016,2013,12
16-Mar,Sunny,21,9,6,0,40,47,1023,2009,15
17-Mar,Sunny,21,5,7,0,30,7,1024,2010,13
18-Mar,Sunny,13,3,8,2.1,68,5,1017,2011,8
19-Mar,Moderate,9,7,7,9,83,72,1014,2012,8
20-Mar,Sunny,19,7,11,0,21,12,1017,2013,13
21-Mar,Cloudy,14,10,6,9.9,77,77,1023,2009,12
22-Mar,Sunny,22,6,8,0,26,15,1024,2010,14
23-Mar,Sunny,15,2,8,0,46,10,1018,2011,8.5
24-Mar,Sunny,14,6,7,1.6,72,34,1011,2012,10
25-Mar,Sunny,18,7,14,0.2,27,18,1019,2013,12.5
26-Mar,Sunny,18,10,6,1.4,79,29,1021,2009,14
27-Mar,Sunny,22,8,8,0,24,21,1022,2010,15
28-Mar,partly cloud,15,3,5,0,43,34,1014,2011,9
29-Mar,Sunny,15,5,7,0,56,14,1013,2012,10
30-Mar,partly cloud,15,7,13,2.7,49,47,1018,2013,11
31-Mar,Mist,10,7,6,10.6,88,60,1018,2009,8.5
1-Apr,Sunny,21,7,7,0,31,11,1022,2010,14
2-Apr,Sunny,16,4,10,0,47,5,1016,2011,10
3-Apr,Sunny,14,5,8,0,37,6,1013,2012,9.5
4-Apr,Overcast,12,5,7,0.4,56,52,1015,2013,8.5
5-Apr,Sunny,16,6,7,0.1,74,4,1021,2009,11
6-Apr,Sunny,20,7,8,0,27,4,1021,2010,13.5
7-Apr,partly cloud,17,4,9,0,39,19,1016,2011,10.5
8-Apr,Sunny,13,4,7,0,37,14,1016,2012,8.5
9-Apr,Sunny,14,5,8,0,50,4,1023,2013,9.5
10-Apr,Sunny,19,6,7,0,51,11,1020,2009,12.5
11-Apr,Sunny,21,7,7,0,30,11,1022,2010,14
12-Apr,partly cloud,17,6,7,0,37,46,1017,2011,11.5
13-Apr,Sunny,13,3,9,0,37,10,1021,2012,8
14-Apr,Sunny,16,5,10,0,32,1,1022,2013,10.5
15-Apr,Sunny,20,7,6,0,48,16,1018,2009,13.5
16-Apr,Sunny,22,7,7,0,32,7,1021,2010,14.5
17-Apr,Sunny,19,8,8,0,43,25,1019,2011,13.5
18-Apr,Sunny,14,2,10,0,32,22,1021,2012,8
19-Apr,Sunny,17,5,9,0,30,4,1022,2013,11
20-Apr,Sunny,21,8,6,0,49,2,1017,2009,14.5
21-Apr,partly cloud,19,9,9,0,39,36,1020,2010,14
22-Apr,Sunny,19,6,10,0,38,7,1018,2011,12.5
23-Apr,partly cloud,14,7,8,0.1,31,48,1021,2012,10.5
24-Apr,Sunny,18,5,10,0,24,9,1022,2013,11.5
25-Apr,Sunny,21,8,7,0,50,19,1018,2009,14.5
26-Apr,Sunny,22,9,8,0,42,22,1019,2010,15.5
27-Apr,Sunny,19,5,9,0,26,2,1020,2011,12
28-Apr,Sunny,15,6,10,0.1,54,28,1022,2012,10.5
29-Apr,Sunny,16,8,13,0.1,36,30,1023,2013,12
30-Apr,Sunny,23,12,4,0,47,29,1016,2009,17.5
1-May,partly cloud,22,10,8,0,35,34,1018,2010,16
2-May,Sunny,18,4,9,0,22,0,1020,2011,11
3-May,Sunny,16,4,8,0,37,9,1018,2012,10
4-May,Sunny,18,6,9,0,33,2,1022,2013,12
5-May,partly cloud,16,9,9,7.3,79,36,1014,2009,12.5
6-May,Sunny,22,10,8,0,36,4,1019,2010,16
7-May,Sunny,18,4,8,0,24,0,1020,2011,11
8-May,Sunny,16,7,9,0,26,28,1018,2012,11.5
9-May,Sunny,19,6,8,0,29,0,1021,2013,12.5
10-May,Sunny,19,10,10,0.1,66,20,1014,2009,14.5
11-May,Sunny,22,9,9,0,35,13,1019,2010,15.5
12-May,Sunny,18,4,8,0,29,4,1024,2011,11
13-May,Sunny,16,6,11,0,39,7,1020,2012,11
14-May,Sunny,19,7,10,0,26,10,1020,2013,13
15-May,Sunny,18,9,6,0.2,67,29,1017,2009,13.5
16-May,partly cloud,21,11,8,0,31,35,1019,2010,16
17-May,Sunny,19,4,9,0,30,8,1022,2011,11.5
18-May,partly cloud,16,5,10,0,32,26,1018,2012,10.5
19-May,partly cloud,20,8,8,0,28,34,1018,2013,14
20-May,Sunny,20,7,6,0,54,7,1016,2009,13.5
21-May,Sunny,19,11,7,0,37,17,1019,2010,15
22-May,partly cloud,19,5,7,0,26,47,1019,2011,12
23-May,Sunny,17,5,10,0,26,5,1018,2012,11
24-May,Sunny,20,8,9,0,30,10,1018,2013,14
25-May,Sunny,20,8,8,0,48,4,1016,2009,14
26-May,Sunny,15,8,9,5,73,31,1020,2010,11.5
27-May,Cloudy,16,7,6,0.2,45,55,1019,2011,11.5
28-May,Sunny,17,5,11,0,30,0,1020,2012,11
29-May,Sunny,21,9,8,0,32,34,1017,2013,15
30-May,Sunny,19,8,9,0,51,4,1017,2009,13.5
31-May,Sunny,19,5,9,0,48,17,1020,2010,12
1-Jun,Sunny,19,7,6,0.1,55,27,1021,2011,13
2-Jun,Sunny,18,5,9,0,25,17,1019,2012,11.5
3-Jun,partly cloud,20,10,7,0,25,46,1018,2013,15
4-Jun,Sunny,20,7,9,0,40,11,1016,2009,13.5
5-Jun,Sunny,19,7,8,0,36,22,1017,2010,13
6-Jun,Sunny,20,6,9,0,38,14,1021,2011,13
7-Jun,Sunny,17,7,9,0,26,14,1021,2012,12
8-Jun,Sunny,21,11,10,0,36,29,1020,2013,16
9-Jun,Sunny,21,8,8,0,36,1,1016,2009,14.5
10-Jun,Sunny,21,8,8,0,36,1,1016,2009,14.5
11-Jun,Sunny,19,7,8,0,35,4,1018,2010,13
12-Jun,Sunny,22,8,9,0,31,13,1019,2011,15
13-Jun,partly cloud,18,6,10,0,32,27,1021,2012,12
14-Jun,Sunny,21,10,8,0,36,22,1019,2013,15.5
15-Jun,Sunny,20,7,6,0,37,30,1017,2009,13.5
16-Jun,Sunny,19,6,8,0,35,4,1018,2010,12.5
17-Jun,partly cloud,25,9,8,0,28,27,1018,2011,17
18-Jun,Sunny,19,8,8,0,30,35,1019,2012,13.5
19-Jun,partly cloud,19,11,9,0.5,48,33,1019,2013,15
20-Jun,Sunny,21,10,6,0.5,50,24,1018,2009,15.5
21-Jun,Sunny,19,6,8,0,34,15,1019,2010,12.5
22-Jun,partly cloud,24,11,9,0.5,41,57,1020,2011,17.5
23-Jun,Patchy,12,9,7,2.9,70,62,1022,2012,10.5
24-Jun,Sunny,21,8,8,0.7,49,15,1017,2009,14.5
25-Jun,Sunny,21,6,8,0,35,21,1019,2010,13.5
26-Jun,partly cloud,18,11,12,2.7,64,47,1019,2011,14.5
27-Jun,Patchy,9,7,10,11.6,80,71,1018,2012,8
28-Jun,Light,14,9,18,16.7,85,70,1015,2013,11.5
29-Jun,Overcast,12,8,8,7.2,81,64,1016,2009,10
30-Jun,Patchy,13,9,8,4.8,71,77,1020,2010,11
1-Jul,partly cloud,20,9,9,1.4,57,38,1017,2011,14.5
2-Jul,Sunny,14,5,7,0.4,69,18,1020,2012,9.5
3-Jul,Thundery outbreaks possible,12,8,15,35.3,91,82,1014,2013,10
4-Jul,Sunny,16,7,8,1,72,19,1020,2009,11.5
5-Jul,partly cloud,16,10,4,2.3,81,56,1020,2010,13
6-Jul,Light,19,10,12,4.6,73,66,1013,2011,14.5
7-Jul,Sunny,21,8,8,0.7,49,15,1017,2009,14.5
8-Jul,Sunny,21,6,8,0,35,21,1019,2010,13.5
9-Jul,partly cloudy,18,11,12,2.7,64,47,1019,2011,14.5
10-Jul,Patchy light rain,9,7,10,11.6,80,71,1018,2012,8
11-Jul,Light rain shower,14,9,18,16.7,85,70,1015,2013,11.5
12-Jul,Overcast,12,8,8,7.2,81,64,1016,2009,10
13-Jul,Patchy light drizzle,13,9,8,4.8,71,77,1020,2010,11
14-Jul,partly cloudy,20,9,9,1.4,57,38,1017,2011,14.5
15-Jul,Sunny,14,5,7,0.4,69,18,1020,2012,9.5
16-Jul,Sunny,14,5,7,0.4,69,18,1020,2012,9.5
17-Jul,Thundery outbreaks possible,12,8,15,35.3,91,82,1014,2013,10
18-Jul,Sunny,16,7,8,1,72,19,1020,2009,11.5
19-Jul,Sunny,16,7,8,1,72,19,1020,2009,11.5
20-Jul,partly cloud,16,10,4,2.3,81,56,1020,2010,13
21-Jul,Light rain shower,19,10,12,4.6,73,66,1013,2011,14.5
22-Jul,Sunny,16,5,11,0,45,1,1020,2012,10.5
23-Jul,Sunny,16,5,11,0,45,1,1020,2012,10.5
24-Jul,Sunny,15,7,10,0.8,71,15,1023,2013,11
25-Jul,Sunny,16,7,8,1,72,19,1020,2009,11.5
26-Jul,partly cloud,16,10,4,2.3,81,56,1020,2010,13
27-Jul,Light rain shower,19,10,12,4.6,73,66,1013,2011,14.5
28-Jul,Sunny,16,5,11,0,45,1,1020,2012,10.5
29-Jul,Sunny,16,5,11,0,45,1,1020,2012,10.5
30-Jul,Sunny,15,7,10,0.8,71,15,1023,2013,11
31-Jul,Sunny,19,5,6,0,54,15,1020,2009,12
1-Aug,Moderate or heavy rain shower,14,10,10,3.4,88,69,1018,2010,12
2-Aug,Moderate or heavy rain shower,11,6,7,30.1,93,62,1009,2011,8.5
3-Aug,Sunny,15,3,11,0,34,0,1017,2012,9
4-Aug,Sunny,15,3,11,0,34,0,1017,2012,9
5-Aug,Sunny,17,6,7,0,50,0,1019,2013,11.5
6-Aug,Sunny,21,6,9,0,43,7,1019,2009,13.5
7-Aug,Moderate or heavy rain shower,11,11,28,17.7,94,98,1008,2010,11
8-Aug,Sunny,17,5,8,0,69,2,1015,2011,11
9-Aug,Sunny,14,3,9,0,32,0,1016,2012,8.5
10-Aug,Sunny,14,3,9,0,32,0,1016,2012,8.5
11-Aug,Sunny,19,7,8,0,40,3,1018,2013,13
12-Aug,Patchy rain possible,12,5,8,9.9,81,32,1008,2010,8.5
13-Aug,Cloudy,19,5,9,0,47,31,1015,2011,12
14-Aug,Sunny,15,4,9,0,34,4,1019,2012,9.5
15-Aug,Sunny,15,4,9,0,34,4,1019,2012,9.5
16-Aug,Sunny,20,8,8,0,37,1,1017,2013,14
17-Aug,partly cloud,17,10,7,0,47,40,1018,2009,13.5
18-Aug,Cloudy,19,5,9,0,47,31,,2011,12
19-Aug,Sunny,15,4,9,0,34,4,1019,2012,9.5
20-Aug,Sunny,20,8,8,0,37,1,1017,2013,14
21-Aug,partly cloud,12,8,5,4.7,81,45,1015,2009,10
22-Aug,Sunny,15,3,6,0,66,10,1020,2010,9
23-Aug,partly cloud,18,5,9,0,50,38,1016,2011,11.5
24-Aug,Sunny,17,4,9,0,32,1,1018,2012,10.5
25-Aug,Sunny,17,4,9,0,32,1,1018,2012,10.5
26-Aug,Sunny,20,8,11,0,29,1,1019,2013,14
27-Aug,Sunny,18,8,4,0.2,75,30,1016,2009,13
28-Aug,partly cloud,15,5,6,0,62,40,1021,2010,10
29-Aug,partly cloud,15,7,9,0.1,50,47,1019,2011,11
30-Aug,Sunny,18,6,10,0.5,39,34,1018,2012,12
31-Aug,Sunny,18,6,10,0.5,39,34,1018,2012,12
1-Sep,Overcast,20,7,11,0,31,61,1019,2013,13.5
2-Sep,partly cloud,18,11,5,2.5,79,59,1017,2009,14.5
3-Sep,Sunny,18,7,7,0,61,34,1020,2010,12.5
4-Sep,Patchy light rain,15,9,10,2.9,75,55,1017,2011,12
5-Sep,Patchy light drizzle,13,8,6,7.8,70,67,1017,2012,10.5
6-Sep,Patchy light drizzle,13,8,6,7.8,70,67,1017,2012,10.5
7-Sep,partly cloudy,21,9,9,0,26,21,1019,2013,15
8-Sep,Patchy light drizzle,16,10,6,6.6,79,58,1012,2009,13
9-Sep,Sunny,18,7,5,0,59,32,1019,2010,12.5
10-Sep,Moderate or heavy rain shower,11,9,7,13,91,84,1012,2011,10
11-Sep,Light rain shower,13,7,8,7.1,79,40,1016,2012,10
12-Sep,Light rain shower,13,7,8,7.1,79,40,1016,2012,10
13-Sep,Sunny,19,9,11,0,31,18,1018,2013,14
14-Sep,Sunny,18,8,7,2,77,27,1017,2009,13
15-Sep,Sunny,18,6,5,0.5,59,37,1016,2010,12
16-Sep,Moderate or heavy rain shower,16,8,8,13.7,83,42,1012,2011,12
17-Sep,Sunny,14,5,12,0,51,9,1020,2012,9.5
18-Sep,Sunny,14,5,12,0,51,9,1020,2012,9.5
19-Sep,partly cloudy,20,11,11,0.4,48,51,1017,2013,15.5
20-Sep,Sunny,19,7,10,0,56,2,1017,2009,13
21-Sep,Light rain shower,12,7,10,4.1,78,39,1015,2010,9.5
22-Sep,Sunny,19,7,10,0,56,2,1017,2009,13
23-Sep,Light rain shower,12,7,10,4.2,78,39,1015,2010,9.5
24-Sep,Sunny,18,5,7,0.3,64,2,1014,2011,11.5
25-Sep,Sunny,15,4,8,0,41,20,1018,2012,9.5
26-Sep,Sunny,15,4,8,0,41,20,1018,2012,9.5
27-Sep,partly cloud,16,10,12,1.9,63,66,1014,2013,13
28-Sep,Sunny,20,6,7,0,52,22,1017,2009,13
29-Sep,Sunny,17,5,9,0.1,66,12,1020,2010,11
30-Sep,Sunny,17,5,9,0.1,49,17,1015,2011,11
1-Oct,Sunny,16,5,9,0,34,25,1019,2012,10.5
2-Oct,Sunny,16,5,9,0,34,25,1019,2012,10.5
3-Oct,Sunny,13,8,8,0.8,68,45,1010,2013,10.5
4-Oct,Sunny,21,9,7,0,43,22,1017,2009,15
5-Oct,Sunny,19,5,9,0,57,4,1021,2010,12
6-Oct,Sunny,18,5,9,0.4,54,19,1018,2011,11.5
7-Oct,partly cloud,17,5,12,0,32,49,1021,2012,11
8-Oct,partly cloud,17,5,12,0,32,49,1021,2012,11
9-Oct,Sunny,18,6,6,0.1,67,11,1012,2013,12
10-Oct,Sunny,22,8,10,0,44,3,1017,2009,15
11-Oct,Sunny,20,6,8,0,49,7,1018,2010,13
12-Oct,Sunny,17,5,8,0,48,22,1016,2011,11
13-Oct,partly cloud,15,8,12,0.1,40,41,1021,2012,11.5
14-Oct,partly cloud,15,8,12,0.1,40,41,1021,2012,11.5
15-Oct,Sunny,19,8,8,0,53,9,1016,2013,13.5
16-Oct,Sunny,22,8,10,0,44,3,1017,2009,15
17-Oct,Sunny,20,6,8,0,49,7,1018,2010,13
18-Oct,Sunny,17,5,8,0,48,22,1016,2011,11
19-Oct,partly cloudy,15,8,12,0.1,40,41,1021,2012,11.5
20-Oct,partly cloudy,15,8,12,0.1,40,41,1021,2012,11.5
21-Oct,Sunny,19,8,8,0,53,9,1016,2013,13.5
22-Oct,Sunny,22,9,12,0.5,46,19,1015,2009,15.5
23-Oct,Sunny,22,7,8,0,45,14,1018,2010,14.5
24-Oct,partly cloudy,17,7,6,0.1,50,46,1019,2011,12
25-Oct,Sunny,19,9,10,0.1,36,24,1016,2013,14
26-Oct,Sunny,21,10,4,0.4,63,17,1018,2009,15.5
27-Oct,Sunny,23,8,8,0,46,14,1018,2010,15.5
28-Oct,Sunny,13,7,7,2.5,72,42,1020,2011,10
29-Oct,Patchy light drizzle,16,10,5,3.1,76,61,1015,2012,13
30-Oct,Patchy light drizzle,16,10,5,3.1,76,61,1015,2012,13
31-Oct,Sunny,21,9,10,0.1,36,18,1018,2013,15
1-Nov,Sunny,21,9,9,0.1,48,27,1019,2009,15
2-Nov,Sunny,25,10,8,0,48,7,1016,2010,17.5
3-Nov,Sunny,20,4,9,0,54,27,1020,2011,12
4-Nov,Sunny,16,8,8,1.4,66,20,1012,2012,12
5-Nov,Sunny,16,8,8,1.4,66,20,1012,2012,12
6-Nov,partly cloudy,19,9,11,2.4,46,51,1017,2013,14
7-Nov,Sunny,19,10,6,2.2,67,38,1013,2009,14.5
8-Nov,Sunny,24,12,9,0,45,29,1015,2010,18
9-Nov,partly cloudy,20,8,8,0,42,44,1018,2011,14
10-Nov,partly cloudy,16,9,13,1,57,35,1013,2012,12.5
11-Nov,partly cloudy,16,9,13,1,57,35,1013,2012,12.5
12-Nov,Light rain shower,15,10,9,4.7,72,57,1020,2013,12.5
13-Nov,Light rain shower,18,11,3,3.1,81,45,1012,2009,14.5
14-Nov,Sunny,24,11,6,0.1,48,21,1013,2010,17.5
15-Nov,partly cloudy,13,7,11,0.5,59,55,1019,2011,10
16-Nov,Sunny,16,6,10,0.2,46,10,1015,2012,11
17-Nov,Sunny,16,6,10,0.2,46,10,1015,2012,11
18-Nov,Sunny,19,9,9,0.1,58,31,1019,2013,14
19-Nov,Sunny,22,10,8,1.5,69,17,1011,2009,16
20-Nov,Sunny,21,12,7,3.1,66,34,1013,2010,16.5
21-Nov,Sunny,17,6,8,2.4,65,26,1018,2011,11.5
22-Nov,Sunny,16,4,9,0,36,13,1017,2012,10
23-Nov,Sunny,16,4,9,0,36,13,1017,2012,10
24-Nov,Sunny,21,10,8,0,47,10,1020,2013,15.5
25-Nov,partly cloudy,20,9,8,0,46,28,1012,2009,14.5
26-Nov,partly cloudy,19,11,8,3.1,69,47,1015,2010,15
